"Date Reported","Project","Severity","Rule","Category","Line","File","Message"
"2026-03-29","GDC_Governance_2026","error","missing-flow-description","description","1","SMLoanApplicationRejectionNano.flow-meta.xml","Flow descriptions improve documentation and maintainability"
"2026-03-29","GDC_Governance_2026","error","invalid-naming-convention","name","1","SMLoanApplicationRejectionNano.flow-meta.xml","Consistent naming improves Flow discoverability and maintainability"
"2026-03-29","GDC_Governance_2026","error","missing-flow-description","description","1442","Nano_Change_Loan_Application_Owner.flow-meta.xml","Flow descriptions improve documentation and maintainability"
"2026-03-29","GDC_Governance_2026","error","unsafe-running-context","runInMode","1334","Nano_Change_Loan_Application_Owner.flow-meta.xml","System mode without sharing creates security risks"
"2026-03-29","GDC_Governance_2026","error","missing-flow-description","description","1","Axis_Nano_Generate_eSign_Application_Form.flow-meta.xml","Flow descriptions improve documentation and maintainability"
"2026-03-29","GDC_Governance_2026","error","missing-flow-description","description","1","AxisNanoSanctionLetterFlow.flow-meta.xml","Flow descriptions improve documentation and maintainability"
"2026-03-29","GDC_Governance_2026","error","invalid-naming-convention","name","1","AxisNanoSanctionLetterFlow.flow-meta.xml","Consistent naming improves Flow discoverability and maintainability"
"2026-03-29","GDC_Governance_2026","error","invalid-naming-convention","name","1","AxisNanoFlowForRestrictMultiEmployment.flow-meta.xml","Consistent naming improves Flow discoverability and maintainability"
"2026-03-29","GDC_Governance_2026","error","hardcoded-id","formulas","1","AxisNanoFlowForRestrictMultiEmployment.flow-meta.xml","Hardcoded IDs break portability across environments"
"2026-03-29","GDC_Governance_2026","error","hardcoded-id","formulas","1","AxisNanoFlowForRestrictMultiEmployment.flow-meta.xml","Hardcoded IDs break portability across environments"
"2026-03-29","GDC_Governance_2026","error","missing-flow-description","description","1","AccountActive.flow-meta.xml","Flow descriptions improve documentation and maintainability"
"2026-03-29","GDC_Governance_2026","error","invalid-naming-convention","name","1","AccountActive.flow-meta.xml","Consistent naming improves Flow discoverability and maintainability"
